i,M[i]
152,0.8643813223789659
153,0.8732840599716247
154,0.8687210884353741
155,0.8559155334399196
156,0.8783546489508034
157,0.8850964918724356
158,0.8765077601291884
159,0.8598721270414295
160,0.8534860734470436
161,0.8545266750039239
162,0.8612459464420469
163,0.8748581878085548
164,0.7814718885365962
165,0.8942398598905783
166,0.8930763734845566
167,0.9245899545917199
168,0.890531505678349
169,0.900511930715469
170,0.8744801654446325
171,0.8106909533639638
172,0.855395437249474
173,0.8783357138882191
174,0.9139979822728256
175,0.8740880843015402
176,0.907828940606937
177,0.9003715533096018
178,0.9716393478245123
179,0.8857007359527866
180,0.9422666125748997
181,0.8499542394465741
182,0.8679091932144991
183,0.9151641215564913
184,0.9421003303954332
185,0.8405805095570987
186,0.8448502829025551
187,0.944217973868431
188,0.9036670191639881
189,0.9030787046554016
190,0.8602002619012976
191,0.876004929094839
192,0.35996771499389324
193,0.8600909030867422
194,0.7967349507675405
195,0.8751301634075304
196,0.8783734750566374
197,0.8833845511233106
198,0.7356324221259664
199,0.6953679203279528
200,0.6321241354084266
201,0.667066509535434
202,0.62686677992417
203,0.6850496042033946
204,0.6735724514454489
205,0.6904658796629106
206,0.6848444214853324
207,0.7685811443670896
208,0.7075970054585102
209,0.7386148007590133
210,0.7669245605285574
211,0.6364213065402987
212,0.6766966485755238
213,0.6719493972890819
214,0.649229744569009
215,0.7346896244149067
216,0.717762167586553
217,0.676103504600695
218,0.6761181881435517
219,0.7416835514606722
220,0.7739839035085799
221,2.0186515222858037
222,0.6116150383348788
223,0.6140816561831435
224,0.6656342747362205
225,0.6137123875004828
226,0.6150208111360658
227,0.628026121153083
228,0.6253547387966747
229,0.6198641464572138
230,0.6237787627310449
231,0.6171324099466565
232,0.6164102940131849
233,0.6200453953659857
234,0.6225313833689967
235,0.6298936141481152
236,0.6249171075134249
237,0.6331405158457883
238,0.671653152106038
239,0.6252126100624992
240,0.6259168276013889
241,0.6489125269072713
242,0.6518890770889035
